SSID: TUD-facility, BSSID: d0:4d:c6:f2:36:b2, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:33:c2, RSSI: -87
SSID: TUD-facility, BSSID: 1c:28:af:61:ef:c2, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:b1, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f2:5a:60, RSSI: -86
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:9f:b1, RSSI: -92
SSID: TUD-facility, BSSID: d0:4d:c6:f1:9f:b2, RSSI: -92
SSID: eduroam, BSSID: d0:4d:c6:f1:9f:b0, RSSI: -91
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:a1, RSSI: -82
SSID: eduroam, BSSID: d0:4d:c6:f2:36:a0, RSSI: -83
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:02, RSSI: -74
SSID: TUD-facility, BSSID: d0:4d:c6:f1:9f:a2, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f2:2e:92, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:2e:91, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -79
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e6:f1, RSSI: -79
SSID: eduroam, BSSID: 1c:28:af:65:e1:e0, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:2e:90, RSSI: -88
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:65:e1:e2, RSSI: -92
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e1:e1, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:61:ef:d0, RSSI: -75
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:62:b1:00, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:01, RSSI: -78
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -92
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ce:21, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -86
SSID: eduroam, BSSID: 1c:28:af:65:ce:20, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:92, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:65:ce:22, RSSI: -80
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:91, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -78
SSID: TUD-facility, BSSID: d0:4d:c6:f1:d7:72, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -85
