SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f3:03:b0, RSSI: -94
SSID: moto g73 5G_6343, BSSID: 3e:60:75:72:70:a2, RSSI: -75
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -76
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -76
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:a2, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:a1, RSSI: -75
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:61:ec:a0, RSSI: -77
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:d2, RSSI: -61
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:d0, RSSI: -61
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:d1, RSSI: -61
SSID: Pixel_9827, BSSID: 36:39:b2:f4:c7:c5, RSSI: -67
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:b2, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:b1, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:61:ec:b0, RSSI: -78
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:71, RSSI: -89
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:72, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:43:70, RSSI: -89
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:c1, RSSI: -70
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:c2, RSSI: -71
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:c0, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:f1:10, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:e7:62, RSSI: -86
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:e7:61, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:52, RSSI: -70
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:51, RSSI: -69
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:50, RSSI: -69
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:02, RSSI: -77
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -81
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -81
SSID: TUD-facility, BSSID: 1c:28:af:65:e6:f2, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:e7:60, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:61:ef:d0, RSSI: -93
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -85
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:a2, RSSI: -75
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:a1, RSSI: -73
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -53
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -87
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:11, RSSI: -55
SSID: TUD-facility, BSSID: 1c:28:af:61:df:12, RSSI: -55
SSID: eduroam, BSSID: 1c:28:af:61:df:10, RSSI: -55
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -82
SSID: eduroam, BSSID: d0:4d:c6:f2:fc:90, RSSI: -89
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -81
SSID: TUD-facility, BSSID: d0:4d:c6:f2:fc:92, RSSI: -88
